Num,Networth Next Year,Default,Total assets,Net worth,Total Income,Total Income/Total assets,Change in stock,Change in stock/Total Income,Total expenses,Total expenses/Total Income,Profit after tax,Profit after tax/Total assets,PBDITA,PBDITA/Total assets,PBT,PBT/Total assets,Cash profit,Cash profit/Total assets,PBDITA as % of total income,PBT as % of total income,PAT as % of total income,Cash profit as % of total income,PAT as % of net worth,Sales,Sales/Total assets,Income from financial services,Income from financial services/Total Income,Other income,Other income/Total Income,Total capital,Total capital/Total_Assets,Reserves and funds,Reserves and funds/Total_Assets,Borrowings,Borrowings/Total_Assets,Current liabilities & provisions,Current liabilities & provisions/Total_assets,Deferred tax liability,Deferred tax liability/Total_Assets,Shareholders funds,Shareholders funds/Total_assets,Cumulative retained profits,Cumulative retained profits/Total Income,Capital employed,Capital employed/Total assets,TOL/TNW,Total term liabilities / tangible net worth,Contingent liabilities / Net worth (%),Contingent liabilities,Contingent liabilities/Total Assets,Net fixed assets,Net fixed assets/Total Assets,Investments,Investments/Total Income,Current assets,Current assets/Total_Assets,Net working capital,Net working capital/Total Capital,Quick ratio (times),Current ratio (times),Debt to equity ratio (times),Cash to current liabilities (times),Cash to average cost of sales per day,Creditors turnover,Debtors turnover,Finished goods turnover,WIP turnover,Raw material turnover,Shares outstanding,Equity face value,EPS,Adjusted EPS,Total liabilities,PE on BSE,Dev model
327,-7590.7,1,20099.1,398.3,1239.4,0.061664453,-6.7,-0.005405842,2082.5,1.680248507,-190.688,-0.00948739,-23.11,-0.001149803,-195.412,-0.009722425,-108.666,-0.005406511,-12.76,-31.9608,-28.7076,-49.9664,-90.2508,1174.1,0.058415551,15.4,0.012425367,20.8,0.016782314,627.2,0.031205377,3837.9,0.190948848,9485.9,0.471956456,4574.1,0.227577354,488.7,0.0243,1578.6,0.07854083,-498.696,-0.402368888,11064.5,0.550497286,33.59,15.49,291.84,1162.4,0.057833435,7163.8,0.356423919,3452.3,2.785460707,5635.4,0.280380714,-1745.764,-2.783424745,0.63,0.72,26.78,0,8.82,0.33,0.25,12.18,10.16,0.24,53223026,10,-13.7332,-13.9632,20099.1,64.07801191,1
3434,-3976.6,1,33592.2,1665.9,33935.2,1.010210704,53.6,0.001579481,37897.1,1.11674898,-190.688,-0.005676556,881.1,0.026229303,-195.412,-0.005817184,-108.666,-0.003234858,2.6,-11.48,-11.52,-6.62,-90.2508,33337.6,0.99242086,322.6,0.009506353,275,0.00810368,1204.5,0.035856538,626.1,0.018638255,15257.108,0.454186031,10270.1,0.305728711,228.1465496,0.0068,1790.9,0.053312971,-498.696,-0.014695537,14541.12,0.432871917,18.98,10.89,124.4,2072.3,0.061689916,14325.9,0.426465072,5078.45,0.149651394,3548.7,0.105640595,-1745.764,-1.449368203,0.13,0.26,12.98,0,0.42,3.01,15.33,190.48,127.42,18.14,107948196,10,-13.7332,-13.9632,33592.2,-0.79,1
3164,-1733.7,1,15318.7,1028.8,2387.2,0.155835678,70.3,0.029448727,3022.2,1.266002011,-190.688,-0.012448054,75.4,0.004922089,-195.412,-0.012756435,-108.666,-0.007093683,3.16,-23.63,-23.66,-10.53,-44.8,2384.7,0.155672479,2.4,0.001005362,0.1,4.19E-05,2975.118,0.194214783,-212.9,-0.013898046,7799.5,0.509148949,596.6,0.038945864,228.1465496,0.0149,6922.6,0.451905188,-425.2,-0.178116622,14541.12,0.949239818,8.15,6.4,190.92,1964.2,0.128222369,13839.4,0.903431753,0.3,0.00012567,1378.1,0.089961942,494.6,0.166245507,0.24,1,13.31,0.07,13.01,3.24,19.01,29.57,6.95,4.83,124166101,10,-4.55,-4.55,15318.7,-3.26,1
3267,-1438.4,1,5924.6,356.9,4800.8,0.810316308,21.4,0.00445759,5105.3,1.063426929,-190.688,-0.032185802,66,0.011139993,-195.412,-0.032983155,-108.666,-0.018341491,1.37,-5.84,-5.9,-3.32,-56.8,4748.7,0.801522466,42.6,0.008873521,9,0.001874688,419.6,0.070823347,1803.3,0.304374979,1891.8,0.319312696,1809.9,0.305488978,228.1465496,0.0385,419.9,0.070873983,-65.7,-0.013685219,2311.7,0.390186679,9.19,2.54,263.32,939.8,0.158626743,3695.1,0.623687675,349.1,0.072717047,1340,0.226175607,-1444.3,-3.442087703,0.24,0.48,5.48,0.03,5.87,7.09,13.17,9.06,7.42,8.11,35618998,10,-7.95,-7.95,5924.6,-3.01,1
1750,-974.2,1,3411.8,163.2,3455.2,1.012720558,7.5,0.002170641,3831,1.108763603,-190.688,-0.055890732,-23.11,-0.006773551,-195.412,-0.057275339,-108.666,-0.03185005,-2.23,-10.61,-10.66,-4.21,-90.2508,3454.9,1.012632628,81.34220077,0.023541966,0.3,8.68E-05,1000,0.293100416,-228.18,-0.066879653,2146.1,0.629022803,652.5,0.191248022,228.1465496,0.0669,613.2,0.179729175,-498.696,-0.144332021,2759.3,0.808751978,16.91,7.11,161.4,263.4,0.07720265,2074.4,0.608007503,701.0139914,0.202886661,1208.5,0.354211853,-429.1,-0.4291,0.43,0.74,15.91,0.01,0.97,4.53,4.92,50.66,18.65,6.55,41840000,10,-5.87,-5.87,3411.8,-1.19,1
2293,-968.8,1,3864.3,136.3,5074.7,1.313226199,-38.2,-0.007527539,5259.2,1.036356829,-190.688,-0.049346065,124.7,0.032269751,-195.412,-0.050568538,-66.2,-0.017131175,2.46,-4.37,-4.39,-1.3,-78.28,4948,1.280438889,82,0.016158591,6,0.001182336,85.6,0.022151489,280.8,0.072665166,1832.2,0.474135031,1665.7,0.431048314,228.1465496,0.059,143.5,0.037134798,107.9,0.021262341,1975.7,0.511269829,24.44,5.76,122.45,166.9,0.043190229,1048.2,0.271252232,3.4,0.00066999,2272.1,0.587971948,-70.1,-0.818925234,0.5,0.88,13.5,0.1,17.39,2.53,4.49,6.04,5.62,5.39,7838057,10,-13.7332,-13.9632,3864.3,-3.05,1
1070,-686,1,1471.8,82,1015.6,0.690039408,36.1,0.03554549,1164.3,1.146415912,-112.6,-0.07650496,15.5,0.010531322,-97.5,-0.066245414,-71.1,-0.048308194,1.53,-9.6,-11.09,-7,-90.2508,981.2,0.666666667,3.6,0.003544703,2.7,0.002658527,138.8,0.094306292,-20.6,-0.013996467,794.4,0.539747248,534.5,0.363160756,24.7,0.0168,84.5,0.057412692,-284.8,-0.280425364,878.9,0.59715994,15.88,6.84,756.4454,683.1,0.464125561,102.8,0.069846447,28.1,0.027668373,990.1,0.672713684,289.4,2.085014409,1.1,1.31,9.72,0.04,10.02,2.25,1.42,14.88,6.32,14.25,11130413,10,-8.63,-8.63,1471.8,-0.98,1
619,-668.6,1,990,189.2,4650.773588,4.697751099,41.8940059,0.009007965,4324.996183,0.929951996,281.7510873,0.284597058,587.1715222,0.593102548,389.8817694,0.393819969,398.2580876,0.402280897,0,0,0,0,0,4604.023774,4.650529065,81.34220077,0.017490037,41.69389313,0.008964937,197.3,0.199292929,2.6,0.002626263,788.8,0.796767677,1.3,0.001313131,228.1465496,0.2305,189.2,0.191111111,-8.1,-0.001741646,978,0.987878788,4.18,2.05,25.48,48.2,0.048686869,4.2,0.004242424,701.0139914,0.150730621,2.5,0.002525253,-60.9,-0.308667005,0,0.01,4.17,0,159.9664189,0,0,87.5324658,27.97205637,0,19730000,10,0,0,990,64.07801191,1
758,-579.6,1,3574.9,28.4,2306.7,0.645248818,202.3,0.087701045,2694.4,1.168075606,-185.4,-0.051861591,7.1,0.00198607,-185.4,-0.051861591,-34.3,-0.009594674,0.31,-8.04,-8.04,-1.49,-90.2508,2269.5,0.634842933,25.2,0.010924698,11.9,0.005158885,221.5690593,0.061979093,-228.18,-0.063828359,2609.3,0.729894543,934.9,0.261517805,228.1465496,0.0638,28.4,0.007944278,-497.1,-0.215502666,2637.7,0.737838821,54.839,27.3566,756.4454,956.1,0.267448041,2493.2,0.69741811,701.0139914,0.303903408,1020.5,0.28546253,-202.6,-0.914387598,0.18,0.83,34.694,0,0,5.04,12.72,10.6,11.7,6.16,19600,10,-13.7332,-13.9632,3574.9,64.07801191,1
1500,-551.3,1,1408.5,120.9,589.2,0.418317359,-116.4,-0.197556008,664.6,1.127970129,-190.688,-0.135383742,-23.11,-0.016407526,-191.8,-0.136173234,-88.2,-0.062619808,-12.9,-31.9608,-28.7076,-14.97,-88.47,575.2,0.408377707,2.8,0.004752206,3.1,0.005261371,448.5,0.318423855,-228.18,-0.16200213,964,0.684416045,323.6,0.229747959,228.1465496,0.162,120.9,0.085835996,-498.696,-0.846395112,1084.9,0.770252041,10.09,7.16,0,936.4739761,0.664873252,1084.3,0.769826056,701.0139914,1.189772558,238.9,0.169613064,-85.2,-0.189966555,0.34,0.6,7.97,0.07,13.92,3.25,4.26,7.07,4.87,7,44745316,10,-4.29,-13.9632,1408.5,-3.62,1
355,-279.2,1,2199.2,820.6,1243.1,0.565251,-123.1,-0.099026627,1398.4,1.124929611,-190.688,-0.086707894,14.7,0.006684249,-195.412,-0.088855948,-108.666,-0.049411604,1.18,-22.4,-22.4,-12.16,-48.71,1191.8,0.541924336,1,0.000804441,3.3,0.002654654,281.3,0.127910149,-102.1,-0.046425973,956.9,0.435112768,301.6,0.137140778,113.5,0.0516,820.6,0.373135686,-266.2,-0.214142064,1777.5,0.808248454,0,0,2.62,21.5,0.009776282,1161.4,0.528101128,701.0139914,0.563924054,745.6,0.339032375,-9,-0.031994312,0.23,0.99,1.17,0.02,4.59,4.35,5.58,2.03,1.54,10.99,28125000,10,-11.57,-11.57,2199.2,64.07801191,1
3058,-272.9,1,9542.2,2082.3,1051.7,0.110215674,290.2,0.275934202,2004.8,1.906247029,-190.688,-0.019983652,-23.11,-0.002421873,-195.412,-0.020478716,-108.666,-0.01138794,-28.76,-31.9608,-28.7076,-49.9664,-32.93,1007.8,0.105615057,43.9,0.041741942,41.69389313,0.039644284,2500,0.261994089,-228.18,-0.023912725,5132.2,0.537842426,2314.2,0.242522689,6.6,0.0007,2082.3,0.218220117,-498.696,-0.47418085,7214.5,0.756062543,3.57,1.47,16.2,337.4,0.035358722,3354.2,0.35151223,701.0139914,0.666553191,3147,0.32979816,-1021.1,-0.40844,0.12,0.71,2.46,0.04,48.48,1.64,5.17,9.35,9.99,1.08,22284601.68,-1348.444874,0.31,0.31,9542.2,64.07801191,1
140,-200.4,1,2329.6,218.2,813.8,0.349330357,-2.5,-0.003072008,899.8,1.105677071,-88.5,-0.037989354,-23.11,-0.009920158,-195.412,-0.083882212,-108.666,-0.046645776,-14.56,-31.9608,-10.87,-32.5,-33.94,791.1,0.339586195,1.2,0.001474564,21.5,0.026419268,258.2,0.110834478,-38.4,-0.016483516,1419.4,0.609289148,405.9,0.17423592,284.5,0.1221,218.2,0.093664148,-498.696,-0.612799214,1637.6,0.702953297,8.04,6.37,102.34,223.3,0.095853365,1043,0.447716346,49,0.060211354,441.2,0.189388736,77.7,0.300929512,0.77,1.16,6.51,0.02,2.12,2.45,1.98,31.36,17.96,8.11,25693020,10,-13.7332,-13.9632,2329.6,-0.59,1
2762,-194.4,1,478.7,11.2,537.7,1.12325047,-6.8,-0.012646457,551.4,1.025478892,-20.5,-0.042824316,7.2,0.015040735,-20.3,-0.042406518,-11.6,-0.024232296,1.34,-3.78,-3.81,-2.16,-90.2508,471.1,0.984123668,1.9,0.003533569,41.69389313,0.077541181,109,0.227700021,-33.8,-0.070607896,240.8,0.503029037,162.7,0.339878839,228.1465496,0.4766,11.2,0.023396699,-95.9,-0.178352241,252,0.526425736,35.69,16.54,108.93,12.2,0.02548569,84.8,0.177146438,27.5,0.05114376,217.4,0.454146647,2.9,0.026605505,0.28,1.01,21.5,0.14,23.38,3.26,17.38,10.7,10.62,2.55,555000,10,-13.7332,-13.9632,478.7,64.07801191,1
3139,-174.8,1,479.8,2.1,16.9,0.03522301,41.8940059,2.47893526,64.4,3.810650888,-47.5,-0.098999583,7.4,0.015423093,-47.5,-0.098999583,-22.7,-0.04731138,43.79,-31.9608,-28.7076,-49.9664,-90.2508,4604.023774,9.59571441,81.34220077,4.813147975,41.69389313,2.467094268,88.2,0.183826594,-83.3,-0.173614006,315.2,0.656940392,159.7,0.33284702,228.1465496,0.4755,2.1,0.004376824,-424.7,-25.13017751,317.3,0.661317216,54.839,27.3566,0,936.4739761,1.951800701,353.2,0.736140058,11.6,0.686390533,18.8,0.039182993,-140.9,-1.597505669,0.12,0.12,34.694,0.12,174.82,0.01,0,87.5324658,27.97205637,0,9567270,10,-6.35,-6.35,479.8,-0.2,1
389,-173,1,1100.2,159.4,352.3,0.320214506,7,0.019869429,355.6,1.009367017,3.7,0.003363025,55.9,0.050808944,3.7,0.003363025,30.8,0.02799491,15.87,1.05,1.05,8.74,2.35,352.3,0.320214506,81.34220077,0.230889017,41.69389313,0.118347696,109.9,0.099890929,50.3,0.04571896,782.2,0.710961643,31.2,0.02835848,126.6,0.1151,159.4,0.144882749,-72.9,-0.206925915,941.6,0.855844392,5.1,3.89,2.01,3.2,0.002908562,770,0.69987275,9.3,0.026397956,161.8,0.14706417,76.3,0.694267516,0.18,0.84,4.91,0.07,15.01,13.39,19.57,6.07,6.07,2.96,10993093,10,0.34,0.34,1100.2,22.05,1
2605,-137.8,1,532.1,120.2,563.5,1.059011464,-28.1,-0.049866903,577.8,1.025377107,-42.4,-0.07968427,-23.11,-0.043431686,-56,-0.105243375,-35.3,-0.066340913,-5.5,-9.94,-7.52,-6.26,-31.2,552.2,1.037774854,9.1,0.016149068,2.1,0.003726708,47.1,0.088517196,227.4,0.427363278,17.5,0.032888555,240.1,0.451230972,228.1465496,0.4288,120.2,0.225897388,69.9,0.12404614,137.7,0.258785942,1.73,0.09,102.83,123.6,0.232287164,270,0.507423417,0.7,0.001242236,147.8,0.277767337,-97.1,-2.061571125,0.32,0.6,0.15,0.04,4.63,2.35,9.6,8.23,6.6,3.77,471285,100,-13.7332,-13.9632,532.1,-15.5,1
1531,-137.1,1,351,191.3,203.4,0.579487179,-0.8,-0.003933137,221.2,1.087512291,-18.6,-0.052991453,6,0.017094017,-18.6,-0.052991453,2.9,0.008262108,2.95,-9.14,-9.14,1.43,-9.21,199.4,0.568091168,81.34220077,0.399912491,4,0.019665683,204.2,0.581766382,-10.4,-0.02962963,99.1,0.282336182,58.1,0.165527066,228.1465496,0.65,191.3,0.545014245,-233.2,-1.146509341,290.4,0.827350427,0.82,0.49,171.51,328.1,0.934757835,263.5,0.750712251,701.0139914,3.4464798,41.5,0.118233618,-22.2,-0.108716944,0.19,0.65,0.52,0,0.51,3.25,15.34,22.14,22.26,6.89,20438672,10,-1.16,-1.16,351,-2.27,1
247,-121.3,1,1174.2,4.5,0.5,0.000425822,0,0,107.2,214.4,-106.7,-0.09087038,-12.7,-0.010815875,-106.7,-0.09087038,-75.1,-0.06395844,-61.2704,-31.9608,-28.7076,-49.9664,-90.2508,4604.023774,3.920987714,0.2,0.4,0.3,0.6,132.7,0.113013115,-78.2,-0.066598535,823.2,0.701073071,231.8,0.197411003,64.7,0.0551,54.5,0.04641458,-185.7,-371.4,877.7,0.747487651,54.839,27.3566,231.11,10.4,0.008857094,242.2,0.206268097,4.8,9.6,347.7,0.296116505,-290.3,-2.187641296,0.51,0.54,34.694,0.01,47.25,0.05,0,69.34,4.73,0.17,8272870,10,-12.9,-12.9,1174.2,-0.51,1
3236,-114,1,2983,849.7,258.4,0.086624204,50,0.193498452,452.2,1.75,-143.8,-0.048206504,-23.11,-0.007747234,-195.412,-0.065508548,-108.666,-0.036428428,-58.59,-31.9608,-28.7076,-49.9664,0,250.5,0.083975863,4.5,0.017414861,3.4,0.013157895,1000,0.335232987,-143.8,-0.048206504,914.1,0.306436473,1187,0.397921555,25.7,0.0086,849.7,0.284847469,-150.3,-0.581656347,1763.8,0.591283942,3.91,1.57,4.66,39.6,0.013275226,1237.6,0.414884345,701.0139914,2.712902443,1183.1,0.396614147,-75.1,-0.0751,0.11,0.94,1.08,0.05,50.87,15.66536849,17.28342431,87.5324658,27.97205637,19.38653821,22284601.68,-1348.444874,0.06,0.06,2983,64.07801191,1
3218,-108.7,1,542,92.5,549.8,1.014391144,19.7,0.035831211,605.3,1.100945798,-35.8,-0.066051661,-10.3,-0.01900369,-51.3,-0.094649446,-37.7,-0.069557196,-1.87,-9.33,-6.51,-6.86,-33.27,549.6,1.01402214,0.2,0.000363769,41.69389313,0.075834655,33.1,0.061070111,60.7,0.11199262,309.9,0.571771218,111.5,0.205719557,26.8,0.0494,92.5,0.170664207,28.8,0.052382685,402.4,0.742435424,4.55,1.72,5.51,5.1,0.009409594,136.2,0.251291513,11.5,0.020916697,242,0.446494465,-14.7,-0.444108761,0.55,0.94,3.35,0.03,4.7,8.24,4.47,16.36,15.14,4.85,3290276,10,-10.88,-10.88,542,-1.55,1
